name,lat,lng,xml_id
Wels,48.15,14.016666666667,Q178582
Znojmo,48.855540667876,16.048796054219,Q214956
Kunšperk,46.059288376,15.684212526,Q1003990
Kirchberg in Tirol,47.45,12.316666666667,Q665755
Hörstorf,48.28041,14.00455,Q65588464
Wagna,46.768055555556,15.558333333333,Q693460
Graz,47.07083333333333,15.438611111111111,Q13298
Schärding,48.456944444444,13.431666666667,Q255012
Hollabrunn,48.566666666667,16.083333333333,Q624352
Eggenburg,48.643055555556,15.818611111111,Q661774
Schollach,48.183333333333,15.35,Q666161
Vienna,48.208333333333336,16.3725,Q1741
St. Valentin,48.174722222222,14.533333333333,Q661451
Salzburg,47.8,13.045,Q34713
Weißenbach an der Enns,47.705833333333,14.629722222222,Q687459
Linz,48.30583333333333,14.286388888888888,Q41329
Kirchberg am Wechsel,47.608611111111,15.9925,Q666466
Klagenfurt am Wörthersee,46.616666666667,14.3,Q41753
Alfeld (Leine),51.988611111111,9.8269444444444,Q486543
Sankt Andrä-Höch,46.7925,15.379444444444,Q689440
Marchegg,48.278333333333336,16.909166666666668,Q546273
Rainbach im Mühlkreis,48.561111111111,14.477777777778,Q682607
Attnang-Puchheim,48.016666666667,13.716666666667,Q261216
Andelsbuch,47.413333333333,9.8961111111111,Q490200
Riegersburg,47.0,15.933333333333,Q679422
Söchau,47.030277777778,16.018611111111,Q672808
Trautmannsdorf an der Leitha,48.016666666667,16.616666666667,Q670580
Großraming,47.887777777778,14.550277777778,Q682248
Villach,46.616666666667,13.833333333333,Q483522
Taufkirchen an der Pram,48.41043,13.53807,Q205733
Vorderberg,46.5958,13.5219,Q1431366
Kehl,48.571111111111,7.8088888888889,Q15979
Wiener Neustadt,47.816666666667,16.25,Q131612
Judenburg,47.1725,14.660277777778,Q263107
Bad Goisern am Hallstättersee,47.641666666667,13.616666666667,Q252674
Freilassing,47.833333333333,12.966666666667,Q278352
Kufstein,47.583333333333,12.166666666667,Q486341
Seeboden,46.818888888889,13.518333333333,Q660576
Gols,47.897777777778,16.908888888889,Q670770
Landeck,47.133333333333,10.566666666667,Q660183
St. Pölten,48.2,15.616666666667,Q82500
Bruck an der Mur,47.410555555556,15.268611111111,Q259893
Sommerein,47.991666666667,16.657777777778,Q678059
Riedlingsdorf,47.346388888889,16.1325,Q650587
Matzen-Raggendorf,48.4,16.7,Q686420
Ybbs an der Donau,48.166666666667,15.066666666667,Q278447
Onšov,49.578285124367,15.136413823325,Q769162
Wilhelmsburg,48.110833333333,15.61,Q665268
Bergen auf Rügen,54.416666666667,13.433333333333,Q492538
Amstetten,48.116666666667,14.866666666667,Q251231
Oberpullendorf,47.5,16.516666666667,Q252982
Lölling,46.9203,14.5908,Q1879721
Axams,47.230277777778,11.279166666667,Q384648
Böheimkirchen,48.197777777778,15.762222222222,Q682753
Bad Bleiberg,46.624166666667,13.687777777778,Q535737
Leoben,47.381666666667,15.097222222222,Q485294
Deutschkreutz,47.601666666667,16.628055555556,Q41945
Steyregg,48.283611111111,14.366666666667,Q662757
Ulmerfeld-Hausmening-Neufurth,48.07694444,14.82361111,Q2475413
Lienz,46.829722222222,12.769722222222,Q336250
Lassee,48.225555555556,16.823055555556,Q699625
Vöcklabruck,48.008611111111,13.655833333333,Q251325
Neunkirchen,47.726944444444,16.081666666667,Q265948
Kirchstetten,48.183333333333,15.816666666667,Q674814
Innsbruck,47.268333333333,11.393333333333,Q1735
Feldkirchen an der Donau,48.345555555556,14.050277777778,Q250189
Suchdol nad Odrou,49.65571669549,17.928191625522,Q1553447
Gmünd,48.766666666667,14.983333333333,Q671293
St. Wolfgang im Salzkammergut,47.738333333333,13.448055555556,Q567835
Euratsfeld,48.082777777778,14.9325,Q673813
Kapfenberg,47.439444444444,15.289444444444,Q623049
Steyr,48.05,14.416666666667,Q260320
Lindau,47.545833333333,9.6838888888889,Q153969
Neumarkt im Mühlkreis,48.427777777778,14.483333333333,Q683227
Mürzzuschlag,47.6075,15.673055555556,Q492868
Zwettl,48.603333333333,15.168888888889,Q244506
Ried im Innkreis,48.21,13.489444444444,Q267791
Greifenburg,46.750555555556,13.179722222222,Q692935
Anger,47.273611111111,15.69,Q537922
Währing,48.2331,16.3147,Q690417
Krems,48.416666666667,15.616666666667,Q131266
Wolfsberg,46.841944444444,14.840833333333,Q487527
St. Gilgen,47.766666666667,13.366666666667,Q264430
Braunau am Inn,48.258333333333,13.033333333333,Q131128
Mühldorf am Inn,48.245555555556,12.522777777778,Q502615
Kempten (Allgäu),47.733333333333334,10.316666666666666,Q3994
Güssing,47.059166666667,16.323055555556,Q279823
Korneuburg,48.345277777778,16.333055555556,Q659841
St. Veit im Pongau,47.330555555556,13.155555555556,Q259188
Sankt Michael im Burgenland,47.126666666667,16.269166666667,Q663301
Baja,46.183333333333,18.953611111111,Q203344
Mödling,48.085555555556,16.283055555556,Q277965
Langenwang,47.5675,15.619166666667,Q695639
Markt Piesting,47.872777777778,16.128888888889,Q673427
Ober-Grafendorf,48.150833333333,15.544166666667,Q665490
Stinatz,47.203888888889,16.133333333333,Q301284
Radstadt,47.383333333333,13.466666666667,Q260950
Fürstenfeld,47.05,16.083333333333,Q661272
Mistelbach,48.566666666667,16.566666666667,Q660428
Freistadt,48.511666666667,14.506111111111,Q143140
Bad Aussee,47.61,13.782777777778,Q251065
Gmunden,47.918055555556,13.799444444444,Q430449
