id,name
place-wels,Wels
place-znaim-znojmo,Znaim/Znojmo
place-konigsberg-sudsteiermark,Königsberg (Südsteiermark)
place-kirchberg-in-tirol-tirol,Kirchberg in Tirol (Tirol)
place-horstorf,Hörstorf
place-wagna-steiermark,Wagna (Steiermark)
place-graz,Graz
place-scharding-am-inn,Schärding am Inn
place-hollabrunn,Hollabrunn
place-eggenburg-niederosterreich,Eggenburg (Niederösterreich)
place-roggendorf-bei-melk,Roggendorf bei Melk
place-hemmerberg-bei-kohlschwarz,Hemmerberg bei Kohlschwarz
place-wien,Wien
place-st-valentin,St. Valentin
place-salzburg,Salzburg
place-weissenbach-an-der-enns,Weißenbach an der Enns
place-linz,Linz
place-kirchberg-am-wechsel,Kirchberg am Wechsel
place-klagenfurt,Klagenfurt
place-alfeld-an-der-leine-niedersachsen,Alfeld an der Leine (Niedersachsen)
place-sausal,Sausal
place-marchegg,Marchegg
place-summerau-oberosterreich,Summerau (Oberösterreich)
place-attnang-puchheim,Attnang-Puchheim
place-andelsbuch-vorarlberg,Andelsbuch (Vorarlberg)
place-riegersburg,Riegersburg
place-sochau-steiermark,Söchau (Steiermark)
place-trautmannsdorf-niederosterreich,Trautmannsdorf (Niederösterreich)
place-grossraming,Großraming
place-villach,Villach
place-taufkirchen-pram-oberosterreich,Taufkirchen/Pram (Oberösterreich)
place-vorderberg-im-gailtal,Vorderberg im Gailtal
place-neumuhl,Neumühl
place-wiener-neustadt,Wiener Neustadt
place-judenburg,Judenburg
place-bad-goisern-oberosterreich,Bad Goisern (Oberösterreich)
place-freilassing-bayern,Freilassing (Bayern)
place-kufstein,Kufstein
place-seeboden-karnten,Seeboden (Kärnten)
place-gols-burgenland,Gols (Burgenland)
place-landeck,Landeck
place-st-polten,St. Pölten
place-bruck-an-der-mur,Bruck an der Mur
place-sommerein-am-leithagebirge-no,Sommerein am Leithagebirge (NÖ)
place-riedlingsdorf-burgenland,Riedlingsdorf (Burgenland)
place-matzen,Matzen
place-ybbs-an-der-donau-niederosterreich,Ybbs an der Donau (Niederösterreich)
place-windschau-mahren,Windschau (Mähren)
place-wilhelmsburg,Wilhelmsburg
place-bergen-deutschland,Bergen (Deutschland)
place-amstetten,Amstetten
place-oberpullendorf,Oberpullendorf
place-lolling,Lölling
place-axams,Axams
place-boheimkirchen-niederosterreich,Böheimkirchen (Niederösterreich)
place-bleiberg-karnten,Bleiberg (Kärnten)
place-leoben,Leoben
place-deutschkreutz,Deutschkreutz
place-steyregg,Steyregg
place-hausmening,Hausmening
place-lienz,Lienz
place-lassee-niederosterreich,Lassee (Niederösterreich)
place-vocklabruck,Vöcklabruck
place-neunkirchen,Neunkirchen
place-doppel,Doppel
place-innsbruck,Innsbruck
place-feldkirchen-an-der-donau,Feldkirchen an der Donau
place-zauchtel-sudetenland,Zauchtel (Sudetenland)
place-gersdorf,Gersdorf
place-gmund,Gmünd
