entity,p2280
http://www.wikidata.org/entity/Q1944783,10346
http://www.wikidata.org/entity/Q109717099,20405
http://www.wikidata.org/entity/Q15785523,30708
http://www.wikidata.org/entity/Q18626047,02342
http://www.wikidata.org/entity/Q1329966,10256
http://www.wikidata.org/entity/Q84475,15445
http://www.wikidata.org/entity/Q15833531,17151
http://www.wikidata.org/entity/Q86829,18990
http://www.wikidata.org/entity/Q20030152,23963
http://www.wikidata.org/entity/Q69385915,05641
http://www.wikidata.org/entity/Q1733882,05642
http://www.wikidata.org/entity/Q438475,14834
http://www.wikidata.org/entity/Q19513428,29665
http://www.wikidata.org/entity/Q20811969,31991
http://www.wikidata.org/entity/Q86648,52688
http://www.wikidata.org/entity/Q1545085,61719
http://www.wikidata.org/entity/Q1732058,01002
http://www.wikidata.org/entity/Q28924590,01107
http://www.wikidata.org/entity/Q1612106,02841
http://www.wikidata.org/entity/Q29585127,05651
http://www.wikidata.org/entity/Q72072449,05652
http://www.wikidata.org/entity/Q1097418,40627
http://www.wikidata.org/entity/Q1253,88391
http://www.wikidata.org/entity/Q1819759,01051
http://www.wikidata.org/entity/Q21813592,01057
http://www.wikidata.org/entity/Q88443,01061
http://www.wikidata.org/entity/Q2590743,02866
http://www.wikidata.org/entity/Q1381738,10613
http://www.wikidata.org/entity/Q6578002,12906
http://www.wikidata.org/entity/Q560435,14756
http://www.wikidata.org/entity/Q130635587,30701
http://www.wikidata.org/entity/Q2074678,36348
http://www.wikidata.org/entity/Q78560,00186
http://www.wikidata.org/entity/Q1693226,00206
http://www.wikidata.org/entity/Q2691131,01698
http://www.wikidata.org/entity/Q1719510,01705
http://www.wikidata.org/entity/Q28842316,01738
http://www.wikidata.org/entity/Q2638806,01762
http://www.wikidata.org/entity/Q1498490,01774
http://www.wikidata.org/entity/Q1505972,01796
http://www.wikidata.org/entity/Q1604192,01819
http://www.wikidata.org/entity/Q42376270,02334
http://www.wikidata.org/entity/Q42944384,02352
http://www.wikidata.org/entity/Q1330186,02888
http://www.wikidata.org/entity/Q51729963,03459
http://www.wikidata.org/entity/Q1337231,08211
http://www.wikidata.org/entity/Q1511770,10092
http://www.wikidata.org/entity/Q30077290,12455
http://www.wikidata.org/entity/Q1614624,15527
http://www.wikidata.org/entity/Q1332863,15531
http://www.wikidata.org/entity/Q1611376,16233
http://www.wikidata.org/entity/Q1448491,30231
http://www.wikidata.org/entity/Q130634483,30689
http://www.wikidata.org/entity/Q131470786,31965
http://www.wikidata.org/entity/Q1326102,64220
http://www.wikidata.org/entity/Q17352992,84056
http://www.wikidata.org/entity/Q2140855,01010
http://www.wikidata.org/entity/Q1774228,01067
http://www.wikidata.org/entity/Q354476,01069
http://www.wikidata.org/entity/Q28047190,01157
http://www.wikidata.org/entity/Q15726866,01159
http://www.wikidata.org/entity/Q1732615,01219
http://www.wikidata.org/entity/Q1732628,01279
http://www.wikidata.org/entity/Q15809519,01307
http://www.wikidata.org/entity/Q1448653,01561
http://www.wikidata.org/entity/Q1147710,01665
http://www.wikidata.org/entity/Q1705809,01824
